PlayerID,Date,Position,Metric,Value,Time,Impact Load Total (L+R),Average Intensity (L and R)
11,2023-09-19,Forward,RSI-modified (Imp-Mom) [m/s] ,0.5,Pre,136593.97,16.05
11,2023-09-20,Forward,RSI-modified (Imp-Mom) [m/s] ,0.48,Pre,124365.7,17.13
11,2023-09-27,Forward,RSI-modified (Imp-Mom) [m/s] ,0.53,Pre,121885.49,17.94
11,2023-10-03,Forward,RSI-modified (Imp-Mom) [m/s] ,0.49,Pre,117144.51,16.45
11,2023-10-04,Forward,RSI-modified (Imp-Mom) [m/s] ,1.12,Pre,57890.61,17.02
11,2023-10-24,Forward,RSI-modified (Imp-Mom) [m/s] ,0.49,Pre,126523.57,15.93
11,2023-10-25,Forward,RSI-modified (Imp-Mom) [m/s] ,0.49,Pre,141230.53,16.41
12,2023-09-19,Guard,RSI-modified (Imp-Mom) [m/s] ,0.54,Pre,72445.34,11.36
12,2023-09-20,Guard,RSI-modified (Imp-Mom) [m/s] ,0.54,Pre,65962.58,12.88
12,2023-09-26,Guard,RSI-modified (Imp-Mom) [m/s] ,0.55,Pre,42460.06,9.97
12,2023-09-27,Guard,RSI-modified (Imp-Mom) [m/s] ,0.59,Pre,64969.01,13.73
12,2023-10-03,Guard,RSI-modified (Imp-Mom) [m/s] ,0.63,Pre,72397.1,12.13
12,2023-10-04,Guard,RSI-modified (Imp-Mom) [m/s] ,0.56,Pre,52053.77,12.59
12,2023-10-10,Guard,RSI-modified (Imp-Mom) [m/s] ,0.57,Pre,76335.44,10.91
12,2023-10-17,Guard,RSI-modified (Imp-Mom) [m/s] ,0.49,Pre,82330.8,10.04
12,2023-10-18,Guard,RSI-modified (Imp-Mom) [m/s] ,0.51,Pre,120182.24,14.29
12,2023-10-24,Guard,RSI-modified (Imp-Mom) [m/s] ,0.54,Pre,93316.73,14.02
13,2023-09-19,Forward,RSI-modified (Imp-Mom) [m/s] ,0.31,Pre,90116.81,11.79
13,2023-10-04,Forward,RSI-modified (Imp-Mom) [m/s] ,0.66,Pre,42962.39,10.96
13,2023-10-10,Forward,RSI-modified (Imp-Mom) [m/s] ,0.38,Pre,77502.36,10.41
13,2023-10-11,Forward,RSI-modified (Imp-Mom) [m/s] ,0.3,Pre,64675.74,10.99
13,2023-10-17,Forward,RSI-modified (Imp-Mom) [m/s] ,0.31,Pre,101206.69,10.84
13,2023-10-24,Forward,RSI-modified (Imp-Mom) [m/s] ,0.34,Pre,87781.32,12.13
14,2023-09-19,Forward,RSI-modified (Imp-Mom) [m/s] ,0.49,Pre,100571.84,13.13
14,2023-09-20,Forward,RSI-modified (Imp-Mom) [m/s] ,0.46,Pre,123808.85,19.66
14,2023-09-26,Forward,RSI-modified (Imp-Mom) [m/s] ,0.55,Pre,62430.89,11.08
14,2023-09-27,Forward,RSI-modified (Imp-Mom) [m/s] ,0.44,Pre,47710.88,11.17
