Metric,Date,Position,t-statistic,p-value (t-test),W-statistic,p-value (Wilcoxon),Effect Size (Cohen's d)
Eccentric Braking RFD / BM [N/s/kg],2023-10-11,,,,,,
Eccentric Braking RFD / BM [N/s/kg],2023-10-17,Forward,64.26458978317686,6.28775570016718e-210,0.0,3.05837865032028e-70,1.2731278772522168
Eccentric Braking RFD / BM [N/s/kg],2023-10-17,Guard,57.52289763168867,1.5117973493541916e-278,0.0,1.046144963970056e-127,1.058865738523819
Eccentric Braking RFD / BM [N/s/kg],2023-10-17,,,,,,
Eccentric Braking RFD / BM [N/s/kg],2023-10-24,Forward,2.821347195933177,0.005267011780997584,5050.0,2.9890527816858347e-10,0.08475916188510658
Eccentric Braking RFD / BM [N/s/kg],2023-10-24,Guard,19.259478627703047,7.092534399390561e-64,25050.0,1.6677687217907635e-45,0.6318087683591771
Eccentric Braking RFD / BM [N/s/kg],2023-10-24,,,,,,
Eccentric Braking RFD / BM [N/s/kg],2023-10-25,Forward,5.259066245806167,5.957922843513054e-07,2080.0,4.951217422443999e-07,0.3752563690404612
Eccentric Braking RFD / BM [N/s/kg],2023-10-25,Guard,2.7564330029610544,0.006288601236069033,13198.0,0.13538135327625936,0.09610984504440066
Eccentric Braking RFD / BM [N/s/kg],2023-10-25,,,,,,
Eccentric Braking RFD / BM [N/s/kg],2023-09-20,Forward,11.198412698412698,2.4983624610040076e-21,2080.0,5.550980911375265e-11,1.1963084093208762
Eccentric Braking RFD / BM [N/s/kg],2023-09-20,Guard,17.586610143338934,1.436164258436655e-54,30091.5,1.2352632256712076e-27,0.3809569034928233
Eccentric Braking RFD / BM [N/s/kg],2023-09-20,,,,,,
Eccentric Braking RFD / BM [N/s/kg],2023-10-18,Forward,19.749430371532238,8.848404060436254e-49,0.0,9.640853349783355e-37,1.9749430371532237
Eccentric Braking RFD / BM [N/s/kg],2023-10-18,Guard,4.549825419777738,7.806053642741919e-06,20150.0,0.08394237036249934,0.2072180539699798
Eccentric Braking RFD / BM [N/s/kg],2023-10-18,,,,,,
